"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.83	16.32	0.32	1
"artistic"	0.58	16.32	0.66	1
"attractive"	0.84	16.32	0.29	1
"balanced"	0.71	16.32	0.49	1
"beautiful"	0.82	16.32	0.33	1
"clean"	0.73	16.32	0.46	1
"cluttered"	0.05	16.32	1	1
"colorHarmonious"	0.64	16.32	0.59	1
"creative"	0.54	16.32	0.71	1
"delightful"	0.84	16.32	0.3	1
"elegant"	0.74	16.32	0.45	1
"engaging"	0.73	16.32	0.46	1
"enjoyable"	0.85	16.32	0.27	1
"exciting"	0.75	16.32	0.43	1
"fascinating"	0.7	16.32	0.51	1
"harmonious"	0.75	16.32	0.43	1
"interesting"	0.59	16.32	0.66	1
"inviting"	0.76	16.32	0.43	1
"likable"	0.87	16.32	0.24	1
"lovely"	0.79	16.32	0.37	1
"motivating"	0.76	16.32	0.42	1
"nice"	0.82	16.32	0.32	1
"organized"	0.62	16.32	0.61	1
"pleasing"	0.84	16.32	0.29	1
"pretty"	0.86	16.32	0.26	1
"professional"	0.62	16.32	0.62	1
"provoking"	0.22	16.32	0.95	1
"satisfying"	0.81	16.32	0.34	1
"sophisticated"	0.71	16.32	0.5	1
"tasteful"	0.77	16.32	0.41	1
"wellDesigned"	0.66	16.32	0.57	1
