"terms"	"PA1"	"h2"	"u2"	"com"
"appealing"	0.88	17.42	0.23	1
"artistic"	0.66	17.42	0.56	1
"attractive"	0.86	17.42	0.27	1
"balanced"	0.77	17.42	0.4	1
"beautiful"	0.82	17.42	0.32	1
"clean"	0.68	17.42	0.54	1
"cluttered"	0.45	17.42	0.8	1
"colorHarmonious"	0.62	17.42	0.62	1
"creative"	0.68	17.42	0.54	1
"delightful"	0.82	17.42	0.33	1
"elegant"	0.84	17.42	0.29	1
"engaging"	0.76	17.42	0.42	1
"enjoyable"	0.87	17.42	0.25	1
"exciting"	0.77	17.42	0.41	1
"fascinating"	0.66	17.42	0.56	1
"harmonious"	0.8	17.42	0.36	1
"interesting"	0.64	17.42	0.59	1
"inviting"	0.78	17.42	0.39	1
"likable"	0.86	17.42	0.26	1
"lovely"	0.81	17.42	0.34	1
"motivating"	0.77	17.42	0.4	1
"nice"	0.85	17.42	0.28	1
"organized"	0.66	17.42	0.57	1
"pleasing"	0.88	17.42	0.23	1
"pretty"	0.8	17.42	0.36	1
"professional"	0.61	17.42	0.62	1
"provoking"	0.27	17.42	0.92	1
"satisfying"	0.85	17.42	0.28	1
"sophisticated"	0.63	17.42	0.61	1
"tasteful"	0.8	17.42	0.36	1
"wellDesigned"	0.74	17.42	0.45	1
